epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14342.5,0.59898,0.36592,0.89369,0.79623,0.72272,0.79145,0.63969,0.75888,0.54497,0.97777,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,15803,0.59767,0.36383,0.8925,0.81054,0.71552,0.79226,0.64064,0.75903,0.54538,0.97749,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,17187.8,0.59552,0.36285,0.89374,0.81497,0.71669,0.7927,0.64103,0.75878,0.54543,0.97714,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,18587,0.59514,0.3622,0.89399,0.8172,0.71616,0.79407,0.64135,0.75939,0.5458,0.97738,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1333.46,0.56021,0.335,0.8811,0.81044,0.72071,0.79242,0.64063,0.759,0.54747,0.97728,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2725.96,0.57661,0.34804,0.88594,0.80852,0.72157,0.7917,0.63982,0.75902,0.54891,0.97735,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4164.1,0.58381,0.3518,0.88888,0.80005,0.7263,0.79087,0.63858,0.75941,0.54995,0.97713,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1347.71,0.54894,0.32612,0.87686,0.79677,0.7274,0.78924,0.63732,0.759,0.55246,0.97698,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2731.4,0.56972,0.34168,0.8836,0.80345,0.71265,0.78776,0.63532,0.75895,0.5535,0.97706,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4103,0.57837,0.34763,0.88582,0.80026,0.71071,0.78689,0.63558,0.75901,0.55432,0.97689,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5442.91,0.58205,0.35039,0.88744,0.81636,0.7036,0.7872,0.63485,0.75918,0.55451,0.97694,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6762.48,0.58335,0.35212,0.88875,0.80546,0.70946,0.78719,0.63509,0.75944,0.55507,0.97732,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,8077.25,0.57999,0.34916,0.88649,0.78589,0.7284,0.78674,0.63502,0.75928,0.55558,0.97714,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9396.36,0.57887,0.34821,0.88743,0.78527,0.72786,0.78556,0.63441,0.75967,0.55628,0.97758,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10725.6,0.57676,0.3466,0.88852,0.7856,0.73007,0.7868,0.6345,0.75977,0.55696,0.9778,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,12067.2,0.57457,0.34426,0.88689,0.76374,0.74101,0.78532,0.63457,0.75967,0.55776,0.97801,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13409.5,0.57125,0.34226,0.88484,0.76664,0.73625,0.78386,0.63268,0.75969,0.55816,0.9779,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,14752.9,0.56936,0.33994,0.88334,0.75946,0.73961,0.78351,0.63205,0.76,0.55948,0.97749,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,16163.8,0.56763,0.33883,0.88399,0.75567,0.74471,0.78211,0.63114,0.76,0.55974,0.97752,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,17591.4,0.5678,0.33863,0.8829,0.75515,0.74142,0.7824,0.63166,0.76022,0.56089,0.97749,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
