epoch,learning_rate,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,epoch_time_sec
1,5e-05,1.1743982350401843,0.9569733187442134,0.8785116198439312,0.9078144436352211,0.8922896459385969,1.3659615315370812,0.9251184834123223,0.8275134724962989,0.8397770639257398,0.8193947492141768,453.61533880233765
2,0.0001,1.1474356056273098,0.9636057570911539,0.8993444365316543,0.9264433899860905,0.9121652530261701,1.3916308872104095,0.9148273527420446,0.7494999406461323,0.8239942545898307,0.7714482860925133,380.4161329269409
3,0.0001,1.1213738818128907,0.9694975170440199,0.9181908438975277,0.942139489380463,0.9296780640976462,1.3593714371192431,0.9306702775897089,0.8158177159829403,0.8220453959888595,0.8098492536580186,399.8737771511078
4,9.968875438971552e-05,1.108198153427801,0.973242993014056,0.9281557926893094,0.9490681474853218,0.9382165796091649,1.3658695841448971,0.9245768449559919,0.8061846075328601,0.8150103388519129,0.8067053020385928,387.7297806739807
5,9.875893165300026e-05,1.0989685440272177,0.9745223466038212,0.9318246523400817,0.9536728986431962,0.9423475216773055,1.3493227613722867,0.9345971563981043,0.8353041128024776,0.8149977260151287,0.8193403906592802,392.619238615036
6,9.722222485026419e-05,1.09135372538567,0.9768117161855062,0.9386013871975977,0.9585345223948407,0.9482621537550908,1.3564932562647918,0.9278266756939743,0.8395891067052094,0.8135910977166735,0.8181624916376216,405.7649576663971
7,9.509795896116974e-05,1.0848628755009502,0.978680245770558,0.9427613826210905,0.9622814366233091,0.9522286390142518,1.3711251494524523,0.9276912660798917,0.7623775715413715,0.8046035964731103,0.7701618675741739,414.7450478076935
8,9.241284786180006e-05,1.0806966287741988,0.9800101001599192,0.9474265808305696,0.9642204772478582,0.9556010553478996,1.4045807007122622,0.9129316181448883,0.8061797167298361,0.7976029446191479,0.7774838928802154,423.1307578086853
9,8.92006583821675e-05,1.0742770747778823,0.9812810369497517,0.9474164575812509,0.9671449432111624,0.9569601480383179,1.3385473303643125,0.9389302640487475,0.8448126671507808,0.8370098167930878,0.8399478553445091,416.47819447517395
10,8.55017856687341e-05,1.0706415793759465,0.9819712145442303,0.9522353086087556,0.9695100298578676,0.9606309478761829,1.3505460480055296,0.9344617467840217,0.806633458421043,0.8332875508048724,0.8121472806892852,415.72525691986084
