epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5838.2,1.0095,0.66359,0.00396,0.73274,0.61927,0.69445,0.54319,0.98675,0.83478,0.00606,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6122.01,1.00799,0.66437,0.00398,0.7597,0.60264,0.69651,0.54653,0.98242,0.83603,0.00601,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6416.2,1.00776,0.66123,0.00394,0.78678,0.59618,0.69974,0.5512,0.9831,0.8343,0.00603,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6710.66,1.00525,0.6613,0.00394,0.76146,0.60733,0.69818,0.55061,0.98092,0.83164,0.00601,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7016.13,1.00219,0.65302,0.00393,0.76827,0.60063,0.69765,0.55073,0.98058,0.83103,0.00599,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7303.91,0.99781,0.64916,0.0039,0.76374,0.62281,0.70453,0.55602,0.97992,0.82419,0.00599,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7587.89,0.99472,0.64563,0.00388,0.77581,0.61376,0.70154,0.55335,0.97644,0.82456,0.00598,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7871.21,0.99307,0.64513,0.00388,0.77677,0.60357,0.6991,0.55263,0.97388,0.82208,0.00593,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8157.38,0.98871,0.64258,0.00385,0.78197,0.59593,0.70022,0.55349,0.97347,0.82285,0.00594,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8446.32,0.98451,0.63289,0.00384,0.83907,0.57186,0.70371,0.55642,0.97335,0.825,0.00594,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8736.25,0.98417,0.63497,0.00383,0.81279,0.58712,0.70083,0.55496,0.97405,0.82221,0.00593,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9029.79,0.97973,0.62604,0.00381,0.81197,0.58508,0.70163,0.55653,0.97601,0.81651,0.00594,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9323.18,0.98043,0.62983,0.0038,0.79353,0.59552,0.70186,0.55751,0.97317,0.81767,0.00592,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9611.21,0.97776,0.62414,0.00378,0.78748,0.59966,0.69982,0.55478,0.97269,0.82175,0.00593,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9903.3,0.9752,0.61892,0.00374,0.75552,0.61031,0.70076,0.55577,0.97332,0.82312,0.00592,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10196,0.97167,0.61884,0.00376,0.74426,0.61131,0.7005,0.55418,0.97474,0.82063,0.00593,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10486.1,0.96786,0.61597,0.00373,0.75366,0.61724,0.70278,0.55613,0.97436,0.81906,0.00592,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10775.4,0.96228,0.61301,0.00373,0.75791,0.61326,0.70159,0.55515,0.97562,0.81912,0.00595,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11065.4,0.96231,0.61393,0.0037,0.76132,0.6194,0.70166,0.5555,0.97473,0.82105,0.00595,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11346,0.95608,0.60758,0.00368,0.75175,0.62461,0.70129,0.55497,0.97362,0.82124,0.00594,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
