epoch,learning_rate,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,epoch_time_sec
1,0.0001,1.226615307345333,0.9375389276996886,0.8523259726531239,0.8818025120857449,0.8662239551069836,1.513939242873066,0.868381855111713,0.7570383534873979,0.7552374683080527,0.7430395629308051,464.57490706443787
2,9.997557473810373e-05,1.14792443090151,0.959877114720983,0.908818553956103,0.9316092440978969,0.9197869067575538,1.4927065097728773,0.8801624915368991,0.7297981911067706,0.7879331066374231,0.7374588758294738,383.7704334259033
3,9.990232305719946e-05,1.1274463463959374,0.965465869876273,0.9188499013498147,0.9423584583316162,0.9301451374201707,1.468779197607641,0.8885578876100203,0.7711424919759546,0.7648301972094403,0.7589914796492381,368.9184286594391
4,9.978031724785248e-05,1.1129229304285004,0.9693039306455685,0.9294206905625296,0.9494688862142279,0.9390964847724838,1.5021277282394585,0.8719025050778605,0.785616479143308,0.7687501280357372,0.7719130642835637,371.9533658027649
5,9.960967771506668e-05,1.1036712952690007,0.9718037202255703,0.9356187227800206,0.9539474399182042,0.944522888640773,1.4543915689193323,0.8905890318212593,0.785038379034137,0.7692738460854914,0.7684834904262657,383.59665036201477
6,9.939057285945934e-05,1.093866596612432,0.9749095194007238,0.9407566655959305,0.9581148063823683,0.949208316318029,1.503722947533258,0.8755585646580907,0.7593281293976403,0.764311410119758,0.7523354895948837,372.94286942481995
7,9.912321891107012e-05,1.0878932923823532,0.9766265465869877,0.9437112539595199,0.9620929952617086,0.9526380890082476,1.4692181247589793,0.8897765741367637,0.7941130369158939,0.7486077439146265,0.7620351772890046,380.5665819644928
8,9.880787971596802e-05,1.0835428663620934,0.9780826529753388,0.9466306598172891,0.9643918879283613,0.9552612066969708,1.446547484349462,0.8979011509817197,0.8095631468140146,0.7843339269709321,0.7912089628519046,386.61862444877625
9,9.844486647586726e-05,1.076996171433319,0.9798417641612659,0.950450303379003,0.9671540176622156,0.9585854789703632,1.456922357826517,0.8969532836831415,0.8174507884244875,0.7583794333843102,0.7749471247413571,409.24617528915405
10,9.80345374410087e-05,1.0725403325765004,0.9811127009510984,0.9545727159491021,0.970412760068978,0.9623047818584246,1.4600719514858425,0.8932972241029113,0.8064041792604991,0.7456662740128481,0.7608825790124938,422.29687571525574
11,9.757729755661012e-05,1.0715711233702365,0.9812726201498191,0.9511399874365195,0.9683741589619701,0.9595100706215713,1.504868259991676,0.8802979011509817,0.7736422697680024,0.7499855535270176,0.7547191381554939,393.331255197525
12,9.707359806323419e-05,1.0661884114774587,0.9825772241393822,0.9558909006714542,0.9715967447020011,0.9635686311890048,1.5014863884925196,0.8880162491536899,0.7565188605798382,0.742389651637935,0.7314023818432095,377.11960315704346
13,9.652393605146847e-05,1.063776215431556,0.9834441545324467,0.9571209242311519,0.973665676100571,0.9651716212330537,1.4971525209694192,0.8797562626946513,0.7652207884757125,0.7326801455143794,0.7309224873045929,375.09086990356445
14,9.592885397135708e-05,1.062612207025583,0.9834778217321775,0.9569069709647101,0.9735289810153321,0.9649989289551301,1.4994545029399358,0.8812457684495599,0.7687839254942757,0.7501028170845829,0.7479537072565541,374.57196259498596
15,9.5288939097068e-05,1.0596129812793733,0.9844373369245013,0.957693434740948,0.9739005621215757,0.96559454614708,1.4626356739568485,0.8962762356127285,0.8212713981049518,0.7524156567440242,0.7762836567422559,382.81091356277466
16,9.460482294732424e-05,1.0570398916129402,0.9846056729231546,0.9580381801536977,0.9754583969852645,0.9664926759974741,1.4729216083934684,0.8941096817874069,0.7825387372586289,0.7690963837464584,0.7626602492954244,375.4048173427582
17,9.387718066217127e-05,1.0551508159190353,0.9851948489184412,0.9591065869184584,0.9759329108966571,0.9672718438947837,1.4848273790278141,0.8918077183480027,0.7719943650086621,0.7574348205395075,0.7538399433989935,373.8241124153137
18,9.310673033669524e-05,1.0537257994518627,0.9858092753135258,0.9610830104905808,0.9770010134013207,0.9688307942617911,1.4839062331089234,0.8895057549085985,0.8101735073981746,0.7569091522749141,0.77362386741831,406.053462266922
19,9.229423231234978e-05,1.0521930112751252,0.9861206969110344,0.9624196899635753,0.9774187210548606,0.9697446004837263,1.4837117424669828,0.8942450914014896,0.7925574465282393,0.7740183963443155,0.7717476007165273,389.21018862724304
20,9.144048842659084e-05,1.0498593969303354,0.9865752041073984,0.9647332835149268,0.97912754710812,0.9717733310030953,1.4868703206487823,0.892078537576168,0.8139463819863184,0.7626204298675809,0.7822422156510684,415.71604228019714
21,9.054634122155993e-05,1.0478358801642749,0.9873074657015403,0.9642927798168051,0.9789438412486641,0.9714508234217388,1.5093030845626594,0.8823290453622207,0.7712837194559514,0.7642753591436803,0.7551924550925615,428.7180140018463
22,8.96126731125967e-05,1.0465151013393674,0.9874000505007996,0.9668038389969825,0.9808090766819706,0.9736658382777499,1.4942874796744046,0.8869329722410291,0.8128130965446633,0.7689211210733178,0.7846402970250195,382.7779612541199
23,8.864040551740159e-05,1.0464713636808007,0.9873748001010016,0.964747821245134,0.9805471482875264,0.9724431812840376,1.4947477871772803,0.8908598510494246,0.8031979212990152,0.7535383042829285,0.769794954232638,388.421226978302
24,8.763049794670778e-05,1.0452191948860585,0.9877619728979042,0.9651835524689846,0.9806776918991568,0.972737603651998,1.5109308522378744,0.8842247799593771,0.7744580176408797,0.7855665569422621,0.776734381460649,381.1764221191406
25,8.65839470573599e-05,1.0436042547326287,0.9883343152933255,0.9661526536626371,0.981652774729767,0.9737151794696656,1.517345260492272,0.8882870683818551,0.7956867124965908,0.7757952448925229,0.7816448747463356,386.1518895626068
